request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
3,BasicRequest,1,120,120,6011;-1;-1,4994;-1;-1,,,,,242.18149316399996,3232.8820000000005,0:t_wait:0;t_drive:272.18149316399996;fare:323,,,0,89,120,392.1814931639999,323,0
1,BasicRequest,1,0,0,4074;-1;-1,10159;-1;-1,,,,,570.0834843480001,7760.596,0:t_wait:0;t_drive:600.0834843480001;fare:776,,,0,6,0,600.0834843480001,776,0
9,BasicRequest,1,360,360,5881;-1;-1,1558;-1;-1,,,,,327.694734177,4129.030000000001,0:t_wait:0;t_drive:357.694734177;fare:412,,,0,4,360.0,717.6947341769998,412,0
13,BasicRequest,1,420,420,5106;-1;-1,7746;-1;-1,,,,,91.702886387,992.331,0:t_wait:129.95395200899998;t_drive:121.70288638700004;fare:100,,,0,89,549.953952009,671.656838396,100,0
8,BasicRequest,1,360,360,5255;-1;-1,6141;-1;-1,,,,,496.6311523339999,5875.488999999999,0:t_wait:0;t_drive:526.6311523339999;fare:587,,,0,86,360,886.6311523339999,587,0
11,BasicRequest,1,420,420,4420;-1;-1,10159;-1;-1,,,,,405.278817196,5809.067000000001,0:t_wait:0;t_drive:435.278817196;fare:580,,,0,88,420,855.2788171960002,580,0
16,BasicRequest,1,480,480,5410;-1;-1,4881;-1;-1,,,,,394.19096406200003,4626.17,0:t_wait:0;t_drive:424.19096406200003;fare:462,,,0,51,480,904.1909640619998,462,0
17,BasicRequest,1,480,480,7547;-1;-1,605;-1;-1,,,,,473.617264862,6824.736000000001,0:t_wait:0;t_drive:503.61726486199996;fare:682,,,0,90,480,983.617264862,682,0
28,BasicRequest,1,840,840,2074;-1;-1,5311;-1;-1,,,,,196.942244791,1912.7110000000002,0:t_wait:0;t_drive:226.94224479100012;fare:191,,,0,41,840.0,1066.9422447910001,191,0
19,BasicRequest,1,600,600,1174;-1;-1,8523;-1;-1,,,,,222.168342226,2545.617,0:t_wait:222.0973834219999;t_drive:252.16834222600005;fare:254,,,0,245,822.097383422,1074.2657256480002,254,0
18,BasicRequest,1,600,600,4420;-1;-1,7899;-1;-1,,,,,456.302278056,6501.621999999999,0:t_wait:0;t_drive:486.302278056;fare:650,,,0,154,600,1086.302278056,650,0
34,BasicRequest,1,1020,1020,605;-1;-1,10186;-1;-1,,,,,240.890316622,3230.4660000000003,0:t_wait:0;t_drive:270.890316622;fare:323,,,0,17,1020,1290.890316621999,323,0
31,BasicRequest,1,900,900,7547;-1;-1,10914;-1;-1,,,,,360.38757501099997,4653.456,0:t_wait:0;t_drive:390.3875750110001;fare:465,,,0,105,900,1290.3875750110003,465,0
32,BasicRequest,1,960,960,4428;-1;-1,4934;-1;-1,,,,,317.794029291,3377.954,0:t_wait:0;t_drive:347.794029291;fare:337,,,0,233,960,1307.7940292910007,337,0
35,BasicRequest,1,1080,1080,1608;-1;-1,7746;-1;-1,,,,,309.619056153,4454.115,0:t_wait:0;t_drive:339.619056153;fare:445,,,0,168,1080.0,1419.6190561529997,445,0
7,BasicRequest,1,240,240,10301;-1;-1,4428;-1;-1,,,,,592.844517463,7300.671,0:t_wait:280.915477731;t_drive:871.459530654;fare:730,,,0,276,520.9154777310001,1392.3750083850002,730,0
23,BasicRequest,1,780,780,5681;-1;-1,4994;-1;-1,,,,,667.772126492,9053.508999999998,0:t_wait:0;t_drive:697.7721264920001;fare:905,,,0,1,780,1477.772126492,905,0
26,BasicRequest,1,840,840,8210;-1;-1,955;-1;-1,,,,,683.187414295,8817.237000000001,0:t_wait:0;t_drive:713.187414295;fare:881,,,0,65,840.0,1553.1874142950003,881,0
20,BasicRequest,1,600,600,7899;-1;-1,11010;-1;-1,,,,,407.161102378,5350.876,0:t_wait:486.302278056;t_drive:437.1611023780001;fare:535,,,0,154,1086.302278056,1523.4633804339996,535,0
15,BasicRequest,1,480,480,1498;-1;-1,9377;-1;-1,,,,,807.2243550779999,10289.622,0:t_wait:242.00751925200007;t_drive:837.2243550779999;fare:1028,,,0,273,722.007519252,1559.23187433,1028,0
10,BasicRequest,1,360,360,4994;-1;-1,1521;-1;-1,,,,,546.6752877280001,7256.414999999997,0:t_wait:697.232056804;t_drive:576.6752877280001;fare:725,,,0,4,1057.2320568039997,1633.9073445319991,725,0
40,BasicRequest,1,1200,1200,2346;-1;-1,6011;-1;-1,,,,,424.04585668,5404.887999999999,0:t_wait:0;t_drive:454.04585668000004;fare:540,,,0,77,1200.0,1654.0458566799998,540,0
14,BasicRequest,1,420,420,7173;-1;-1,5106;-1;-1,,,,,444.392683078,5323.136,0:t_wait:761.871951843;t_drive:474.3926830779999;fare:532,,,0,89,1181.8719518429996,1656.2646349209992,532,0
22,BasicRequest,1,720,720,5106;-1;-1,223;-1;-1,,,,,693.8995271739999,10547.830999999998,0:t_wait:232.153653178;t_drive:723.8995271739998;fare:1054,,,0,209,952.1536531779999,1676.0531803519998,1054,0
50,BasicRequest,1,1320,1320,4428;-1;-1,4541;-1;-1,,,,,311.4876359560001,3745.097000000001,0:t_wait:0;t_drive:341.4876359560001;fare:374,,,0,319,1320.0,1661.487635956,374,0
37,BasicRequest,1,1140,1140,11447;-1;-1,4994;-1;-1,,,,,605.0359221169999,7601.697000000001,0:t_wait:0;t_drive:635.0359221169999;fare:760,,,0,2,1140,1775.0359221169995,760,0
51,BasicRequest,1,1440,1440,4541;-1;-1,4428;-1;-1,,,,,311.206833244,3741.261,0:t_wait:0;t_drive:341.2068332439999;fare:374,,,0,113,1440,1781.206833244,374,0
24,BasicRequest,1,780,780,5881;-1;-1,10159;-1;-1,,,,,154.076473737,1650.131,0:t_wait:893.2156070840001;t_drive:184.07647373700001;fare:165,,,0,1,1673.2156070840003,1857.2920808210001,165,0
46,BasicRequest,1,1260,1260,10159;-1;-1,63;-1;-1,,,,,531.297324592,7802.481000000002,0:t_wait:0;t_drive:561.297324592;fare:780,,,0,6,1260.0,1821.2973245920002,780,0
12,BasicRequest,1,420,420,1521;-1;-1,185;-1;-1,,,,,312.936603525,3980.2189999999996,0:t_wait:1046.2249356060001;t_drive:342.936603525;fare:398,,,0,88,1466.2249356059992,1809.161539130999,398,0
53,BasicRequest,1,1560,1560,4251;-1;-1,4994;-1;-1,,,,,320.16164113900004,3865.2450000000003,0:t_wait:0;t_drive:350.16164113900004;fare:386,,,0,237,1560.0,1910.161641139,386,0
6,BasicRequest,1,240,240,887;-1;-1,8698;-1;-1,,,,,736.318255555,11332.745000000003,0:t_wait:0;t_drive:766.318255555;fare:1133,,,0,276,831.359325842,1882.0689571899998,1133,0
44,BasicRequest,1,1200,1200,5311;-1;-1,8210;-1;-1,,,,,727.750764158,9984.317999999996,0:t_wait:0;t_drive:757.750764158;fare:998,,,0,41,1200.0,1957.7507641579998,998,0
21,BasicRequest,1,600,600,3891;-1;-1,4934;-1;-1,,,,,394.21452550800007,4700.148999999999,0:t_wait:909.565117867;t_drive:424.21452550799995;fare:470,,,0,245,1509.5651178670005,1933.779643375001,470,0
57,BasicRequest,1,1740,1740,9641;-1;-1,9377;-1;-1,,,,,261.867396525,3488.668,0:t_wait:0;t_drive:291.867396525;fare:348,,,0,100,1740,2031.8673965249993,348,0
29,BasicRequest,1,840,840,1498;-1;-1,7173;-1;-1,,,,,672.580080471,9963.111,0:t_wait:532.181067342;t_drive:702.5800804710002;fare:996,,,0,31,1372.181067342,2074.7611478129998,996,0
67,BasicRequest,1,1980,1980,605;-1;-1,6011;-1;-1,,,,,89.906258739,1215.004,0:t_wait:0;t_drive:119.9062587389999;fare:121,,,0,78,1980.0,2099.9062587389994,121,0
55,BasicRequest,1,1680,1680,10159;-1;-1,4251;-1;-1,,,,,272.60803634499996,3221.284,0:t_wait:177.29208082100035;t_drive:302.60803634499985;fare:322,,,0,1,1857.2920808210001,2159.9001171659993,322,0
27,BasicRequest,1,840,840,1558;-1;-1,10159;-1;-1,,,,,239.53213679699996,3134.099,0:t_wait:995.8917746450002;t_drive:269.532136797;fare:313,,,0,65,1835.8917746450006,2105.4239114420006,313,0
36,BasicRequest,1,1080,1080,4541;-1;-1,5255;-1;-1,,,,,222.38391899100003,2669.4750000000004,0:t_wait:797.4277494569999;t_drive:252.3839189910002;fare:266,,,0,168,1877.4277494569994,2129.8116684479996,266,0
65,BasicRequest,1,1980,1980,887;-1;-1,1521;-1;-1,,,,,90.75683544,963.289,0:t_wait:90.75683544000003;t_drive:120.75683544000003;fare:100,,,0,4,2070.7568354399996,2191.51367088,100,0
59,BasicRequest,1,1740,1740,1973;-1;-1,5410;-1;-1,,,,,252.356276841,2976.0409999999993,0:t_wait:140.05414982999991;t_drive:282.3562768410002;fare:297,,,0,7,1880.05414983,2162.4104266710006,297,0
4,BasicRequest,1,180,180,1498;-1;-1,10186;-1;-1,,,,,1056.5793071320002,15781.827000000001,0:t_wait:542.007519252;t_drive:1086.5793071320004;fare:1578,,,0,273,722.007519252,2219.6908856200007,1578,0
64,BasicRequest,1,1920,1920,4420;-1;-1,5238;-1;-1,,,,,304.195318562,3337.1219999999994,0:t_wait:0;t_drive:334.195318562;fare:333,,,0,195,1920,2254.195318562001,333,0
62,BasicRequest,1,1860,1860,887;-1;-1,63;-1;-1,,,,,387.419445762,6640.1939999999995,0:t_wait:0;t_drive:417.4194457620001;fare:664,,,0,388,1860,2277.419445762,664,0
48,BasicRequest,1,1320,1320,8210;-1;-1,4251;-1;-1,,,,,956.685065167,13023.148,0:t_wait:0;t_drive:986.6850651670002;fare:1302,,,0,80,1320,2306.6850651669993,1302,0
73,BasicRequest,1,2100,2100,9641;-1;-1,4934;-1;-1,,,,,199.807407762,1985.114,0:t_wait:0;t_drive:229.8074077619999;fare:198,,,0,121,2100,2329.807407761999,198,0
69,BasicRequest,1,2040,2040,4881;-1;-1,10159;-1;-1,,,,,337.04905849299996,4371.596999999999,0:t_wait:0;t_drive:367.04905849299985;fare:437,,,0,20,2040.0,2407.049058493,437,0
61,BasicRequest,1,1800,1800,11447;-1;-1,9040;-1;-1,,,,,570.142721446,8076.124,0:t_wait:0;t_drive:600.142721446;fare:807,,,0,30,1800.0,2400.1427214460014,807,0
39,BasicRequest,1,1140,1140,1498;-1;-1,5410;-1;-1,,,,,704.000183503,10219.157,0:t_wait:532.181067342;t_drive:734.0001835030002;fare:1021,,,0,112,1672.181067342,2406.1812508450007,1021,0
33,BasicRequest,1,960,960,1498;-1;-1,605;-1;-1,,,,,815.68899051,12551.361,0:t_wait:412.181067342;t_drive:1101.668771262;fare:1255,,,0,31,1372.181067342,2473.849838603999,1255,0
41,BasicRequest,1,1200,1200,1498;-1;-1,1174;-1;-1,,,,,792.253047934,11258.323,0:t_wait:532.181067342;t_drive:822.2530479339998;fare:1125,,,0,153,1732.181067342,2554.4341152760003,1125,0
54,BasicRequest,1,1680,1680,1498;-1;-1,1174;-1;-1,,,,,792.253047934,11258.323,0:t_wait:52.181067342000006;t_drive:822.2530479339998;fare:1125,,,0,153,1732.181067342,2554.4341152760003,1125,0
68,BasicRequest,1,2040,2040,4428;-1;-1,1521;-1;-1,,,,,544.564258699,8145.488999999999,0:t_wait:0;t_drive:574.5642586989998;fare:814,,,0,330,2040,2614.564258699,814,0
47,BasicRequest,1,1260,1260,9377;-1;-1,8002;-1;-1,,,,,514.6623000239999,7250.429,0:t_wait:840.0574999189998;t_drive:544.6623000240002;fare:725,,,0,6,2100.057499919,2644.7197999429995,725,0
42,BasicRequest,1,1200,1200,1608;-1;-1,4055;-1;-1,,,,,560.203648193,6594.877,0:t_wait:943.4966009290001;t_drive:590.2036481929999;fare:659,,,0,77,2143.496600928999,2733.700249121999,659,0
71,BasicRequest,1,2040,2040,4307;-1;-1,7547;-1;-1,,,,,677.9370978139997,10144.033999999996,0:t_wait:0;t_drive:707.9370978139996;fare:1014,,,0,152,2040.0,2747.9370978139996,1014,0
30,BasicRequest,1,900,900,1498;-1;-1,5106;-1;-1,,,,,1008.216851653,14434.571,0:t_wait:472.181067342;t_drive:1176.9727635490003;fare:1443,,,0,31,1372.181067342,2771.922920532998,1443,0
52,BasicRequest,1,1440,1440,5410;-1;-1,4251;-1;-1,,,,,331.647173681,3473.866,0:t_wait:974.4317776839998;t_drive:361.6471736809999;fare:347,,,0,113,2414.431777684001,2776.078951365002,347,0
76,BasicRequest,1,2220,2220,6011;-1;-1,8210;-1;-1,,,,,587.6509405760003,8099.963999999999,0:t_wait:0;t_drive:617.6509405760003;fare:809,,,0,78,2220,2837.650940576,809,0
77,BasicRequest,1,2340,2340,5106;-1;-1,11447;-1;-1,,,,,493.794929128,6408.278,0:t_wait:0;t_drive:523.7949291280001;fare:640,,,0,89,2340,2863.7949291280006,640,0
86,BasicRequest,1,2700,2700,4254;-1;-1,4428;-1;-1,,,,,206.29809413899997,1844.4699999999998,0:t_wait:0;t_drive:236.2980941390001;fare:184,,,0,119,2700,2936.2980941389997,184,0
83,BasicRequest,1,2640,2640,2420;-1;-1,5238;-1;-1,,,,,330.20121666399996,3847.932,0:t_wait:0;t_drive:360.20121666399973;fare:384,,,0,162,2640,3000.201216664001,384,0
82,BasicRequest,1,2640,2640,11010;-1;-1,8357;-1;-1,,,,,430.32946338700003,5670.094000000001,0:t_wait:0;t_drive:460.32946338700003;fare:567,,,0,19,2640.0,3100.329463386999,567,0
43,BasicRequest,1,1200,1200,1498;-1;-1,4934;-1;-1,,,,,1055.555174448,15479.159,0:t_wait:532.181067342;t_drive:1341.6592729230001;fare:1547,,,0,153,1732.181067342,3073.840340264999,1547,0
95,BasicRequest,1,2880,2880,10159;-1;-1,4994;-1;-1,,,,,177.972089423,2100.675,0:t_wait:141.90970447400014;t_drive:207.97208942299994;fare:210,,,0,90,3021.909704474,3229.881793897,210,0
75,BasicRequest,1,2160,2160,4307;-1;-1,8002;-1;-1,,,,,1042.1308601480002,16122.523000000001,0:t_wait:0;t_drive:1072.1308601480005;fare:1612,,,0,216,2160.0,3232.1308601479973,1612,0
56,BasicRequest,1,1680,1680,6141;-1;-1,1174;-1;-1,,,,,386.147313985,5337.502,0:t_wait:1181.5813626520003;t_drive:416.147313985;fare:533,,,0,1,2861.5813626519994,3277.7286766369994,533,0
88,BasicRequest,1,2760,2760,5238;-1;-1,4931;-1;-1,,,,,494.71904644100005,6555.840999999999,0:t_wait:0;t_drive:524.719046441;fare:655,,,0,8,2760.0,3284.719046441001,655,0
66,BasicRequest,1,1980,1980,5269;-1;-1,8002;-1;-1,,,,,356.32923903200003,5144.905,0:t_wait:961.3451134510001;t_drive:386.3292390319998;fare:514,,,0,4,2941.345113451002,3327.674352483001,514,0
45,BasicRequest,1,1260,1260,1498;-1;-1,5681;-1;-1,,,,,1206.6465947049996,19617.343,0:t_wait:412.181067342;t_drive:1637.9487128670003;fare:1961,,,0,112,1672.181067342,3310.1297802089994,1961,0
90,BasicRequest,1,2760,2760,3891;-1;-1,1174;-1;-1,,,,,443.00433680599997,5467.636,0:t_wait:148.11638778999986;t_drive:473.0043368060001;fare:546,,,0,276,2908.11638779,3381.1207245959995,546,0
101,BasicRequest,1,3180,3180,6011;-1;-1,4994;-1;-1,,,,,242.18149316399996,3232.8820000000005,0:t_wait:0;t_drive:272.18149316400013;fare:323,,,0,212,3180,3452.181493163999,323,0
96,BasicRequest,1,3000,3000,2420;-1;-1,4994;-1;-1,,,,,345.09375253499996,4967.196,0:t_wait:144.33087644099987;t_drive:375.093752535;fare:496,,,0,220,3144.330876441,3519.4246289759994,496,0
102,BasicRequest,1,3240,3240,605;-1;-1,10159;-1;-1,,,,,141.90970447399997,2005.5679999999998,0:t_wait:73.89227713499986;t_drive:171.90970447400014;fare:200,,,0,238,3313.892277135,3485.801981609,200,0
74,BasicRequest,1,2100,2100,4994;-1;-1,392;-1;-1,,,,,659.3557570170002,8867.772,0:t_wait:796.1288792959999;t_drive:689.3557570170001;fare:886,,,0,121,2896.1288792959976,3585.4846363129973,886,0
99,BasicRequest,1,3120,3120,3562;-1;-1,4994;-1;-1,,,,,427.566573906,4882.697999999999,0:t_wait:0;t_drive:457.56657390600003;fare:488,,,0,128,3120.0,3577.5665739060005,488,0
105,BasicRequest,1,3300,3300,6141;-1;-1,4428;-1;-1,,,,,302.304379909,3688.5030000000006,0:t_wait:0;t_drive:332.3043799090001;fare:368,,,0,86,3300,3632.304379909,368,0
107,BasicRequest,1,3300,3300,6011;-1;-1,4931;-1;-1,,,,,284.165342667,4023.517,0:t_wait:0;t_drive:314.165342667;fare:402,,,0,298,3300,3614.1653426669995,402,0
85,BasicRequest,1,2640,2640,7746;-1;-1,4994;-1;-1,,,,,195.01916417799998,2133.8639999999996,0:t_wait:842.4568389010001;t_drive:225.0191641780002;fare:213,,,0,162,3482.4568389010005,3707.4760030790003,213,0
79,BasicRequest,1,2460,2460,1498;-1;-1,7173;-1;-1,,,,,672.580080471,9963.111,0:t_wait:532.181067342;t_drive:702.5800804710002;fare:996,,,0,329,2992.181067341999,3694.7611478129998,996,0
70,BasicRequest,1,2040,2040,4254;-1;-1,2074;-1;-1,,,,,828.8522579640003,11399.996000000001,0:t_wait:875.7827502499999;t_drive:858.8522579640003;fare:1139,,,0,20,2915.7827502500004,3774.635008213997,1139,0
98,BasicRequest,1,3060,3060,5269;-1;-1,4994;-1;-1,,,,,489.38478008000004,6774.200999999999,0:t_wait:162.93461365599978;t_drive:519.3847800799999;fare:677,,,0,125,3222.9346136560007,3742.319393736002,677,0
111,BasicRequest,1,3480,3480,4931;-1;-1,7746;-1;-1,,,,,441.988440469,6444.375999999999,0:t_wait:0;t_drive:471.9884404690001;fare:644,,,0,8,3480.0,3951.9884404689988,644,0
63,BasicRequest,1,1920,1920,1498;-1;-1,7746;-1;-1,,,,,1021.2366767160001,15556.014000000001,0:t_wait:954.0584739719989;t_drive:1051.2366767160001;fare:1555,,,0,100,2874.0584739719984,3925.2951506879976,1555,0
89,BasicRequest,1,2760,2760,1498;-1;-1,5881;-1;-1,,,,,812.4316455430001,11681.866000000002,0:t_wait:391.5226531249996;t_drive:842.4316455430003;fare:1168,,,0,54,3151.5226531249996,3993.9542986680003,1168,0
100,BasicRequest,1,3120,3120,6011;-1;-1,955;-1;-1,,,,,138.657670452,1422.516,0:t_wait:709.8414765450002;t_drive:168.65767045199982;fare:142,,,0,128,3829.8414765450007,3998.499146997001,142,0
97,BasicRequest,1,3000,3000,4994;-1;-1,9641;-1;-1,,,,,506.473248251,6155.258,0:t_wait:519.4246289759999;t_drive:536.4732482509999;fare:615,,,0,220,3519.4246289759994,4055.897877227,615,0
110,BasicRequest,1,3420,3420,6011;-1;-1,4541;-1;-1,,,,,575.7307450750001,8598.885999999999,0:t_wait:0;t_drive:605.730745075;fare:859,,,0,313,3420.0,4025.730745074999,859,0
118,BasicRequest,1,3720,3720,9377;-1;-1,4994;-1;-1,,,,,388.3090698900001,4758.729,0:t_wait:0;t_drive:418.3090698900005;fare:475,,,0,3,3720,4138.309069890001,475,0
119,BasicRequest,1,3780,3780,5106;-1;-1,5881;-1;-1,,,,,293.475535896,2915.7670000000003,0:t_wait:0;t_drive:323.4755358960001;fare:291,,,0,31,3780,4103.475535896001,291,0
117,BasicRequest,1,3720,3720,3699;-1;-1,10914;-1;-1,,,,,412.306569233,5957.267,0:t_wait:0;t_drive:442.3065692330001;fare:595,,,0,67,3720.0,4162.306569233,595,0
94,BasicRequest,1,2880,2880,605;-1;-1,1174;-1;-1,,,,,670.3439522900001,9200.005000000003,0:t_wait:0;t_drive:700.3439522899998;fare:920,,,0,90,3476.434527969999,4176.778480259997,920,0
112,BasicRequest,1,3540,3540,5255;-1;-1,4994;-1;-1,,,,,589.3628707380001,7919.275,0:t_wait:0;t_drive:619.3628707380003;fare:791,,,0,91,3540.0,4159.362870737999,791,0
121,BasicRequest,1,3840,3840,1558;-1;-1,5881;-1;-1,,,,,321.323485122,4133.835,0:t_wait:0;t_drive:351.3234851220004;fare:413,,,0,92,3840.0,4191.3234851219995,413,0
80,BasicRequest,1,2520,2520,1498;-1;-1,5106;-1;-1,,,,,1008.216851653,14434.571,0:t_wait:472.18106734199955;t_drive:1176.9727635489999;fare:1443,,,0,329,2992.181067341999,4169.153830890999,1443,0
114,BasicRequest,1,3660,3660,4251;-1;-1,63;-1;-1,,,,,560.027398472,7072.304,0:t_wait:0;t_drive:590.0273984719997;fare:707,,,0,80,3660,4250.027398472001,707,0
93,BasicRequest,1,2820,2820,1498;-1;-1,1174;-1;-1,,,,,792.253047934,11258.323,0:t_wait:631.522653125;t_drive:822.2530479340003;fare:1125,,,0,104,3451.5226531249996,4273.775701058999,1125,0
113,BasicRequest,1,3600,3600,6192;-1;-1,887;-1;-1,,,,,692.6283855689998,11346.935000000001,0:t_wait:0;t_drive:722.6283855689999;fare:1134,,,0,27,3600.0,4322.628385568999,1134,0
120,BasicRequest,1,3840,3840,11010;-1;-1,4541;-1;-1,,,,,467.35215302699993,5744.088000000001,0:t_wait:0;t_drive:497.352153027;fare:574,,,0,39,3840.0,4337.352153026998,574,0
127,BasicRequest,1,4020,4020,10159;-1;-1,4931;-1;-1,,,,,291.059245718,3748.083,0:t_wait:0;t_drive:321.05924571800006;fare:374,,,0,65,4020.0,4341.059245717998,374,0
106,BasicRequest,1,3300,3300,5881;-1;-1,10159;-1;-1,,,,,154.076473737,1650.131,0:t_wait:837.2400260579998;t_drive:184.07647373700001;fare:165,,,0,86,4137.240026058001,4321.316499795,165,0
81,BasicRequest,1,2520,2520,1498;-1;-1,2420;-1;-1,,,,,864.707719555,14093.684000000001,0:t_wait:631.522653125;t_drive:894.707719555;fare:1409,,,0,54,3151.5226531249996,4386.577219192,1409,0
134,BasicRequest,1,4260,4260,4994;-1;-1,7746;-1;-1,,,,,192.202078457,2108.6769999999997,0:t_wait:0;t_drive:222.20207845700043;fare:210,,,0,2,4260.0,4482.2020784569995,210,0
58,BasicRequest,1,1740,1740,1498;-1;-1,8002;-1;-1,,,,,1107.806482253,16729.258,0:t_wait:1134.0584739719998;t_drive:1137.806482253;fare:1672,,,0,100,2874.0584739719984,4456.398761852996,1672,0
122,BasicRequest,1,3900,3900,4272;-1;-1,10159;-1;-1,,,,,610.7305230430001,8738.166999999998,0:t_wait:0;t_drive:640.7305230430002;fare:873,,,0,10,3900.0,4540.730523042998,873,0
84,BasicRequest,1,2640,2640,1498;-1;-1,3562;-1;-1,,,,,1178.606903453,17830.597,0:t_wait:352.1810673419991;t_drive:1527.4073443350003;fare:1783,,,0,329,2992.181067341999,4519.5884116769985,1783,0
132,BasicRequest,1,4200,4200,4934;-1;-1,8245;-1;-1,,,,,220.158185956,3159.998,0:t_wait:221.04745857600028;t_drive:250.15818595600012;fare:315,,,0,4,4421.0474585759985,4671.205644531999,315,0
91,BasicRequest,1,2820,2820,1498;-1;-1,9641;-1;-1,,,,,902.9430056379998,12606.262999999999,0:t_wait:631.522653125;t_drive:932.9430056379997;fare:1260,,,0,104,3451.5226531249996,4622.630649088998,1260,0
125,BasicRequest,1,3960,3960,5534;-1;-1,3160;-1;-1,,,,,448.58328796300003,6529.4259999999995,0:t_wait:245.77070845599974;t_drive:478.58328796299975;fare:652,,,0,146,4205.770708456,4684.353996419,652,0
126,BasicRequest,1,3960,3960,9040;-1;-1,8245;-1;-1,,,,,791.200163385,12379.148000000001,0:t_wait:0;t_drive:821.2001633849995;fare:1237,,,0,29,3960,4781.200163384998,1237,0
145,BasicRequest,1,4500,4500,4931;-1;-1,6512;-1;-1,,,,,279.564705353,3761.062,0:t_wait:0;t_drive:309.56470535300014;fare:376,,,0,22,4500.0,4809.564705353,376,0
116,BasicRequest,1,3660,3660,1498;-1;-1,4994;-1;-1,,,,,880.4443928080001,13292.183,0:t_wait:271.52265312500003;t_drive:910.444392808;fare:1329,,,0,111,3931.5226531249996,4841.967045933,1329,0
142,BasicRequest,1,4380,4380,3562;-1;-1,8210;-1;-1,,,,,438.18954680200005,5185.0650000000005,0:t_wait:0;t_drive:468.1895468020002;fare:518,,,0,361,4380.0,4848.189546801999,518,0
149,BasicRequest,1,4620,4620,8313;-1;-1,2420;-1;-1,,,,,233.445017707,2812.908,0:t_wait:0;t_drive:263.44501770700026;fare:281,,,0,59,4620,4883.445017707001,281,0
136,BasicRequest,1,4260,4260,9931;-1;-1,4541;-1;-1,,,,,280.76739698100005,3435.42,0:t_wait:454.02675538100084;t_drive:310.7673969810003;fare:343,,,0,2,4714.026755380999,5024.7941523619975,343,0
123,BasicRequest,1,3900,3900,4994;-1;-1,605;-1;-1,,,,,216.55273407299998,3147.2340000000004,0:t_wait:848.7026124660006;t_drive:246.55273407299956;fare:314,,,0,10,4748.702612465997,4995.255346538997,314,0
139,BasicRequest,1,4320,4320,10479;-1;-1,5881;-1;-1,,,,,630.456416639,9010.886999999997,0:t_wait:0;t_drive:660.456416639;fare:901,,,0,12,4320.0,4980.456416639001,901,0
103,BasicRequest,1,3300,3300,1498;-1;-1,1558;-1;-1,,,,,944.5591962230001,14032.467,0:t_wait:763.4638143999969;t_drive:974.5591962230005;fare:1403,,,0,121,4063.4638143999973,5038.0230106229965,1403,0
152,BasicRequest,1,4680,4680,4994;-1;-1,7173;-1;-1,,,,,339.35795932400003,4297.342,0:t_wait:0;t_drive:369.35795932400015;fare:429,,,0,3,4680.0,5049.357959324,429,0
115,BasicRequest,1,3660,3660,4428;-1;-1,4955;-1;-1,,,,,482.361011085,6503.865,0:t_wait:882.4886208649996;t_drive:512.3610110849995;fare:650,,,0,80,4542.488620865001,5054.849631950004,650,0
148,BasicRequest,1,4560,4560,1521;-1;-1,8002;-1;-1,,,,,537.329050139,7628.269,0:t_wait:0;t_drive:567.3290501390002;fare:762,,,0,330,4560,5127.329050138999,762,0
92,BasicRequest,1,2820,2820,1498;-1;-1,677;-1;-1,,,,,1285.456243057,18352.477,0:t_wait:631.522653125;t_drive:1516.1226568419997;fare:1835,,,0,104,3451.5226531249996,5205.810300292998,1835,0
138,BasicRequest,1,4320,4320,4307;-1;-1,7899;-1;-1,,,,,865.3379698650002,16453.467,0:t_wait:0;t_drive:895.3379698650006;fare:1645,,,0,225,4320.0,5215.337969864997,1645,0
130,BasicRequest,1,4200,4200,3891;-1;-1,8698;-1;-1,,,,,148.11638778999998,1324.279,0:t_wait:383.50479803599956;t_drive:178.11638778999986;fare:132,,,0,4,5061.978282303997,5240.094670093997,132,0
129,BasicRequest,1,4200,4200,10914;-1;-1,8523;-1;-1,,,,,1022.0496639390001,16079.860000000002,0:t_wait:0;t_drive:1052.0496639390003;fare:1607,,,0,13,4200.0,5252.049663938999,1607,0
153,BasicRequest,1,4800,4800,1521;-1;-1,11010;-1;-1,,,,,336.4102622810001,4065.771,0:t_wait:90.75683544000003;t_drive:366.41026228099963;fare:406,,,0,27,4890.756835440001,5257.167097721001,406,0
155,BasicRequest,1,4920,4920,955;-1;-1,9528;-1;-1,,,,,280.174612607,2949.8190000000004,0:t_wait:0;t_drive:310.1746126070002;fare:294,,,0,128,4920.0,5230.174612606999,294,0
87,BasicRequest,1,2700,2700,1498;-1;-1,9040;-1;-1,,,,,1632.411361681,25366.450999999994,0:t_wait:292.1810673419991;t_drive:2248.5282145369997;fare:2536,,,0,329,2992.181067341999,5240.709281878998,2536,0
154,BasicRequest,1,4860,4860,7746;-1;-1,4541;-1;-1,,,,,427.8086933039999,6467.58,0:t_wait:0;t_drive:457.80869330399946;fare:646,,,0,8,4860.0,5317.808693304001,646,0
131,BasicRequest,1,4200,4200,1498;-1;-1,5534;-1;-1,,,,,534.002488344,7758.492,0:t_wait:571.522653125;t_drive:564.0024883440001;fare:775,,,0,289,4771.522653124999,5335.525141469,775,0
