request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
3,BasicRequest,1,120,120,6011;-1;-1,4994;-1;-1,,,,,242.18149316399996,3232.8820000000005,0:t_wait:222.27490263900006;t_drive:272.181493164;fare:323,,,0,0,342.274902639,614.4563958030002,323,0
23,BasicRequest,1,780,780,5681;-1;-1,4994;-1;-1,,,,,667.772126492,9053.509,0:t_wait:689.9924696139999;t_drive:697.7721264919999;fare:905,,,0,0,1469.992469614,2167.764596106,905,0
53,BasicRequest,1,1560,1560,4251;-1;-1,4994;-1;-1,,,,,320.161641139,3865.245,0:t_wait:320.64699418400005;t_drive:350.16164113900004;fare:386,,,0,2,1880.6469941839996,2230.808635322999,386,0
37,BasicRequest,1,1140,1140,11447;-1;-1,4994;-1;-1,,,,,605.0359221169999,7601.697,0:t_wait:592.4133786319999;t_drive:635.0359221170002;fare:760,,,0,1,1732.4133786319996,2367.449300748999,760,0
85,BasicRequest,1,2640,2640,7746;-1;-1,4994;-1;-1,,,,,195.01916417799998,2133.8639999999996,0:t_wait:192.20207845699997;t_drive:225.01916417799976;fare:213,,,0,0,2832.2020784569995,3057.2212426349993,213,0
95,BasicRequest,1,2880,2880,10159;-1;-1,4994;-1;-1,,,,,177.972089423,2100.675,0:t_wait:180.35467423499995;t_drive:207.97208942299994;fare:210,,,0,1,3060.354674235,3268.326763658,210,0
101,BasicRequest,1,3180,3180,6011;-1;-1,4994;-1;-1,,,,,242.18149316399996,3232.8820000000005,0:t_wait:222.27490263900017;t_drive:272.18149316400013;fare:323,,,0,4,3402.274902639,3674.4563958029994,323,0
96,BasicRequest,1,3000,3000,2420;-1;-1,4994;-1;-1,,,,,345.093752535,4967.196000000001,0:t_wait:351.0442784500001;t_drive:375.093752535;fare:496,,,0,2,3351.0442784499996,3726.138030984999,496,0
99,BasicRequest,1,3120,3120,3562;-1;-1,4994;-1;-1,,,,,427.566573906,4882.697999999999,0:t_wait:419.0530302899997;t_drive:457.56657390600003;fare:488,,,0,0,3539.05303029,3996.6196041960006,488,0
98,BasicRequest,1,3060,3060,5269;-1;-1,4994;-1;-1,,,,,489.38478008000004,6774.200999999999,0:t_wait:545.5505469969999;t_drive:519.3847800799999;fare:677,,,0,3,3605.5505469970003,4124.935327077002,677,0
118,BasicRequest,1,3720,3720,9377;-1;-1,4994;-1;-1,,,,,388.30906989000005,4758.729,0:t_wait:388.9273590800003;t_drive:418.3090698899996;fare:475,,,0,4,4108.927359080001,4527.23642897,475,0
112,BasicRequest,1,3540,3540,5255;-1;-1,4994;-1;-1,,,,,589.3628707380001,7919.275,0:t_wait:594.9624103369997;t_drive:619.3628707380003;fare:791,,,0,1,4134.962410336998,4754.325281074998,791,0
116,BasicRequest,1,3660,3660,1498;-1;-1,4994;-1;-1,,,,,880.4443928080001,13292.183,0:t_wait:879.1913533470006;t_drive:910.444392808;fare:1329,,,0,5,4539.191353347001,5449.635746155001,1329,0
168,BasicRequest,1,5340,5340,5534;-1;-1,4994;-1;-1,,,,,492.87102713700006,6609.8009999999995,0:t_wait:493.4394086780003;t_drive:522.871027137;fare:660,,,0,1,5833.439408677998,6356.310435814997,660,0
177,BasicRequest,1,5820,5820,4931;-1;-1,4994;-1;-1,,,,,362.985982854,5006.676000000001,0:t_wait:369.25142662599956;t_drive:392.9859828540002;fare:500,,,0,3,6189.251426625999,6582.23740948,500,0
195,BasicRequest,1,6420,6420,5106;-1;-1,4994;-1;-1,,,,,130.589544566,1167.5749999999998,0:t_wait:127.77245884500007;t_drive:160.58954456599986;fare:116,,,0,1,6547.772458844999,6708.362003410999,116,0
178,BasicRequest,1,5940,5940,4254;-1;-1,4994;-1;-1,,,,,371.918335029,4267.595,0:t_wait:371.81183289100045;t_drive:401.91833502900045;fare:426,,,0,4,6311.811832891,6713.730167920001,426,0
161,BasicRequest,1,5220,5220,1498;-1;-1,4994;-1;-1,,,,,880.4443928080001,13292.183,0:t_wait:879.1913533470006;t_drive:910.444392808;fare:1329,,,0,0,6099.191353346999,7009.635746154999,1329,0
164,BasicRequest,1,5280,5280,1498;-1;-1,4994;-1;-1,,,,,880.4443928080001,13292.183,0:t_wait:819.1913533469997;t_drive:910.444392808;fare:1329,,,0,0,6099.191353346999,7009.635746154999,1329,0
167,BasicRequest,1,5340,5340,1498;-1;-1,4994;-1;-1,,,,,880.4443928080001,13292.183,0:t_wait:759.1913533469997;t_drive:910.444392808;fare:1329,,,0,0,6099.191353346999,7009.635746154999,1329,0
175,BasicRequest,1,5760,5760,4074;-1;-1,4994;-1;-1,,,,,640.088670178,8615.155,0:t_wait:645.1031850870004;t_drive:670.088670178;fare:861,,,0,2,6405.103185086999,7075.191855264998,861,0
188,BasicRequest,1,6300,6300,1498;-1;-1,4994;-1;-1,,,,,880.4443928080001,13292.183,0:t_wait:879.1913533470006;t_drive:910.444392808;fare:1329,,,0,5,7179.191353346999,8369.458868355,1329,0
218,BasicRequest,1,7320,7320,1498;-1;-1,4994;-1;-1,,,,,880.4443928080001,13292.183,0:t_wait:139.01447554699917;t_drive:910.444392808;fare:1329,,,0,5,7459.014475546998,8369.458868355,1329,0
244,BasicRequest,1,8220,8220,5410;-1;-1,4994;-1;-1,,,,,372.11026444000004,4570.096,0:t_wait:370.7780623559993;t_drive:402.1102644399998;fare:457,,,0,0,8590.778062355996,8992.888326795992,457,0
268,BasicRequest,1,8880,8880,5106;-1;-1,4994;-1;-1,,,,,130.589544566,1167.5749999999998,0:t_wait:127.77245884500007;t_drive:160.58954456600077;fare:116,,,0,1,9007.772458845002,9168.362003411,116,0
269,BasicRequest,1,8940,8940,5881;-1;-1,4994;-1;-1,,,,,165.44348059200001,1771.058,0:t_wait:165.4434805919991;t_drive:195.4434805919991;fare:177,,,0,2,9105.443480592,9300.886961183998,177,0
283,BasicRequest,1,9480,9480,605;-1;-1,4994;-1;-1,,,,,211.91489030399998,2860.1270000000004,0:t_wait:216.55273407300047;t_drive:241.91489030400044;fare:286,,,0,0,9696.552734072997,9938.467624376994,286,0
336,BasicRequest,1,11220,11220,7173;-1;-1,4994;-1;-1,,,,,340.690161408,4314.049999999999,0:t_wait:339.35795932399924;t_drive:370.69016140799977;fare:431,,,0,1,11559.357959323996,11930.048120731992,431,0
334,BasicRequest,1,11100,11100,10301;-1;-1,4994;-1;-1,,,,,474.28081276,5076.334999999999,0:t_wait:470.27039765299924;t_drive:504.2808127600001;fare:507,,,0,0,11570.270397652997,12074.551210413003,507,0
367,BasicRequest,1,12300,12300,5881;-1;-1,4994;-1;-1,,,,,165.44348059200001,1771.058,0:t_wait:165.4434805919991;t_drive:195.4434805919991;fare:177,,,0,0,12465.443480592,12660.886961183998,177,0
382,BasicRequest,1,12780,12780,5881;-1;-1,4994;-1;-1,,,,,165.44348059200001,1771.058,0:t_wait:165.4434805919991;t_drive:195.4434805919991;fare:177,,,0,0,12945.443480592,13140.886961183998,177,0
424,BasicRequest,1,14040,14040,5106;-1;-1,4994;-1;-1,,,,,130.589544566,1167.5749999999998,0:t_wait:127.77245884500007;t_drive:160.58954456600077;fare:116,,,0,0,14167.772458845002,14328.362003411,116,0
430,BasicRequest,1,14340,14340,8523;-1;-1,4994;-1;-1,,,,,689.8689229480001,9443.357,0:t_wait:759.1134059529995;t_drive:719.8689229480005;fare:944,,,0,1,15099.113405953,15818.982328900998,944,0
457,BasicRequest,1,15180,15180,5238;-1;-1,4994;-1;-1,,,,,458.67610591899995,5755.098,0:t_wait:466.457860257;t_drive:488.6761059189994;fare:575,,,0,2,15646.457860256995,16135.13396617599,575,0
433,BasicRequest,1,14460,14460,1498;-1;-1,4994;-1;-1,,,,,880.4443928080001,13292.183,0:t_wait:879.1913533469997;t_drive:910.444392808;fare:1329,,,0,0,15339.191353347,16249.635746154998,1329,0
459,BasicRequest,1,15240,15240,1498;-1;-1,4994;-1;-1,,,,,880.4443928080001,13292.183,0:t_wait:99.19135334699968;t_drive:910.444392808;fare:1329,,,0,0,15339.191353347,16249.635746154998,1329,0
507,BasicRequest,1,16980,16980,955;-1;-1,4994;-1;-1,,,,,145.340349856,1299.4589999999998,0:t_wait:142.52326413500123;t_drive:175.3403498560001;fare:129,,,0,0,17122.523264134998,17297.863613990998,129,0
511,BasicRequest,1,17160,17160,10159;-1;-1,4994;-1;-1,,,,,177.972089423,2100.675,0:t_wait:180.35467423500086;t_drive:207.9720894230013;fare:210,,,0,1,17340.354674235,17548.326763658002,210,0
536,BasicRequest,1,18240,18240,9931;-1;-1,4994;-1;-1,,,,,330.77657875600005,3687.67,0:t_wait:334.25280970899985;t_drive:360.77657875599834;fare:368,,,0,0,18574.252809708996,18935.029388464995,368,0
