operator_id,vehicle_id,vehicle_type,status,locked,start_time,end_time,start_pos,end_pos,driven_distance,start_soc,end_soc,charging_power,charging_unit,toll,rq_on_board,occupancy,rq_boarding,rq_alighting,route,trajectory
0,10,default_vehtype,route,False,27840.0,28021.33594534807,2944;-1;-1,3007;-1;-1,2678.7919999999995,0.9627983191463305,0.9625304399463306,0.0,,0,,0,,,2944;2986;3046;2935;2947;3007,2944:27840;2986:27877.72097734942;3046:27881.61151287197;2935:27899.24902853052;2947:27937.237799110335;3007:28021.33594534807
0,10,default_vehtype,boarding,True,28021.33594534807,28051.33594534807,3007;-1;-1,3007;-1;-1,0.0,0.9625304399463306,0.9625304399463306,0.0,,0,377,1,377,,,
0,10,default_vehtype,route,False,28051.33594534807,28254.233036315807,3007;-1;-1,2944;-1;-1,2855.848,0.9625304399463306,0.9622448551463305,0.0,,0,377,1,,,3007;2947;2935;2936;2948;2985;2986;2944,3007:28051.33594534807;2947:28135.434091585805;2935:28173.42286216562;2936:28181.87078365705;2948:28187.388187021403;2985:28210.40913752759;2986:28216.512058966386;2944:28254.233036315807
0,10,default_vehtype,boarding,True,28254.233036315807,28284.233036315807,2944;-1;-1,2944;-1;-1,0.0,0.9622448551463305,0.9622448551463305,0,,0,377,1,,377,,
0,9,default_vehtype,route,False,27840.0,28379.776793506302,2944;-1;-1,10011;-1;-1,7998.815,0.9155242276180953,0.9147243461180954,0.0,,0,,0,,,2944;2986;3046;2935;2936;2948;6065;3024;3029;3004;2939;2930;3001;5251;2961;3040;11086;10042;10037;9912;10004;9923;10009;10010;10011,2944:27840;2986:27877.72097734942;3046:27881.61151287197;2935:27899.24902853052;2936:27907.696950021953;2948:27913.214353386305;6065:27930.040522382893;3024:27937.87589505648;3029:27950.70472469141;3004:27967.07825949814;2939:27973.10417440508;2930:27978.708818284824;3001:27985.630058953604;5251:28020.664715488016;2961:28039.953417681492;3040:28123.989761504992;11086:28133.598201785186;10042:28201.396609086547;10037:28202.10854571625;9912:28304.522199975378;10004:28305.097900384986;9923:28320.663186613412;10009:28321.3222128999;10010:28322.428617568068;10011:28379.776793506302
0,11,default_vehtype,route,False,27840.0,28336.60205062291,2944;-1;-1,5937;-1;-1,7781.149000000001,0.7880786672089184,0.7873005523089186,0.0,,0,,0,,,2944;2986;3046;2935;2936;2948;6065;7026;6064;5361;2933;5718;2934;5740;6722;2853;2889;6721;5935;5936;5937,2944:27840;2986:27877.72097734942;3046:27881.61151287197;2935:27899.24902853052;2936:27907.696950021953;2948:27913.214353386305;6065:27930.040522382893;7026:27930.658196416538;6064:27976.035232028564;5361:27989.066560321335;2933:28012.655053521048;5718:28013.643060346898;2934:28146.6361130619;5740:28179.132925427686;6722:28207.06951946849;2853:28208.528113777724;2889:28220.38639267894;6721:28221.87641594308;5935:28310.80397276126;5936:28311.998395062295;5937:28336.60205062291
0,11,default_vehtype,boarding,True,28336.60205062291,28366.60205062291,5937;-1;-1,5937;-1;-1,0.0,0.7873005523089186,0.7873005523089186,0.0,,0,1017,1,1017,,,
0,15,default_vehtype,route,False,27840.0,28356.602467874378,2944;-1;-1,3014;-1;-1,8318.949,0.5858148386307203,0.5849829437307205,0.0,,0,,0,,,2944;2971;3045;6730;5894;5896;5900;6830;5899;3044;5902;3037;5752;5750;5748;5746;5755;5757;2901;6786;6788;5759;5760;3015;3020;3021;3014,2944:27840;2971:27884.009093146025;3045:27924.548390524335;6730:27932.5134627379;5894:27943.54649307602;5896:27945.931593501304;5900:27964.628630744977;6830:27976.72262680797;5899:27979.114635418857;3044:28028.684485728343;5902:28039.076304857568;3037:28051.240961790492;5752:28066.950014671667;5750:28101.772234159856;5748:28108.10214870889;5746:28130.20553990431;5755:28142.820798046756;5757:28152.79977084561;2901:28183.077262792638;6786:28185.983993733942;6788:28194.597316926498;5759:28230.704692500207;5760:28236.13821075361;3015:28353.51867940492;3020:28354.716756166046;3021:28355.397219758666;3014:28356.602467874378
0,9,default_vehtype,boarding,True,28379.776793506302,28409.776793506302,10011;-1;-1,10011;-1;-1,0.0,0.9147243461180954,0.9147243461180954,0.0,,0,641;647,2,641;647,,,
0,12,default_vehtype,route,False,27840.0,28420.453385265762,2944;-1;-1,2967;-1;-1,9273.166,0.7452294043087835,0.7443020877087837,0.0,,0,,0,,,2944;2945;3008;2958;6735;5678;5677;5953;5954;5951;6725;5527;5525;5523;5522;5521;5210;5209;5638;2967,2944:27840;2945:27903.109245577256;3008:27930.27643739135;2958:27968.220469245323;6735:27968.75615335015;5678:27970.885281740353;5677:27995.828923373218;5953:28045.372836918115;5954:28046.072563017693;5951:28130.52131977821;6725:28152.403030587087;5527:28155.83236576962;5525:28157.957175630036;5523:28166.0168011669;5522:28168.125225468975;5521:28170.513378654374;5210:28292.779786582076;5209:28293.62624327499;5638:28294.74582988916;2967:28420.453385265762
